Unnamed: 0,mines_outcome,LATITUD_Y,LONGITUD_X,random_seed0,random_seed1,random_seed2,random_seed3,random_seed4,sonson_seed0,sonson_seed1,sonson_seed2,sonson_seed3,sonson_seed4,caldas_seed0,caldas_seed1,caldas_seed2,caldas_seed3,caldas_seed4,random_avg,sonson_avg,caldas_avg,test_avg,geometry,cluster,Municipio
72,-1,5.80402251,-75.46423232,0.667668834,0.461057286,0.579868514,0.539419063,0.698858896,0.347332062,0.332549364,0.280627868,0.52449246,0.318339566,0.456748564,0.369320936,0.394422972,0.64309044,0.418474614,0.589374519,0.360668264,0.456411505,0.468818096,POINT (-75.46423232 5.80402251),1,ABEJORRAL
73,-1,5.812996869,-75.46423232,0.541221091,0.426319217,0.525344984,0.331660267,0.668763433,0.316463494,0.253172926,0.25935366,0.527552575,0.381630225,0.429804983,0.372058665,0.435417278,0.655127325,0.431565207,0.498661798,0.347634576,0.464794692,0.437030355,POINT (-75.46423232 5.812996869),1,ABEJORRAL
74,-1,5.821971228,-75.46423232,0.357150946,0.353833983,0.360574499,0.324848014,0.651760138,0.537865833,0.465639614,0.485042523,0.711015326,0.673162907,0.332957282,0.371200253,0.439021164,0.656291185,0.455685912,0.409633516,0.57454524,0.451031159,0.478403305,POINT (-75.46423232 5.821971228),0,ABEJORRAL
75,-1,5.830945587,-75.46423232,0.384542538,0.374214133,0.566719307,0.356983457,0.688488533,0.428580771,0.368081987,0.404479309,0.611200797,0.53031839,0.435674528,0.351166168,0.438002706,0.652782097,0.445069423,0.474189594,0.468532251,0.464538984,0.469086943,POINT (-75.46423232 5.830945587),0,ABEJORRAL
76,-1,5.866843023,-75.46423232,0.360859261,0.365970044,0.61869491,0.515906596,0.435410224,0.638929135,0.382776263,0.420934528,0.605381382,0.561965288,0.391920972,0.502992978,0.414176756,0.600891423,0.3899573,0.459368207,0.521997319,0.459987886,0.480451137,POINT (-75.46423232 5.866843023),1,ABEJORRAL
77,-1,5.795048151,-75.45525796,0.65298867,0.395350324,0.54852555,0.674838812,0.670672761,0.604056097,0.498861833,0.515345925,0.702921307,0.586113223,0.452908804,0.32824394,0.429301657,0.652960748,0.440881695,0.588475224,0.581459677,0.460859369,0.54359809,POINT (-75.45525796 5.795048151),1,ABEJORRAL
78,-1,5.80402251,-75.45525796,0.662570123,0.449677897,0.565912798,0.678429509,0.672691493,0.654380097,0.533677349,0.544685936,0.757433229,0.565501535,0.422904047,0.312464876,0.405882435,0.645618261,0.426537666,0.605856364,0.611135629,0.442681457,0.553224484,POINT (-75.45525796 5.80402251),1,ABEJORRAL
79,-1,5.812996869,-75.45525796,0.657353193,0.624681689,0.644987391,0.693138883,0.699144552,0.469996782,0.368480844,0.367663422,0.612622383,0.446304139,0.445138895,0.328778973,0.445321761,0.651506372,0.440988124,0.663861142,0.453013514,0.462346825,0.52640716,POINT (-75.45525796 5.812996869),1,ABEJORRAL
80,-1,5.821971228,-75.45525796,0.57388422,0.365363256,0.59994494,0.400124943,0.645819219,0.314010597,0.224141362,0.20570619,0.489962593,0.347165438,0.451674281,0.334601016,0.43317635,0.651936736,0.426824296,0.517027316,0.316197236,0.459642536,0.430955696,POINT (-75.45525796 5.821971228),1,ABEJORRAL
81,-1,5.830945587,-75.45525796,0.570083006,0.360940114,0.634718813,0.35798464,0.673858313,0.311397726,0.246077193,0.252770122,0.51207709,0.322560865,0.459647727,0.326625068,0.439931116,0.630309874,0.429599534,0.519516977,0.328976599,0.457222664,0.435238747,POINT (-75.45525796 5.830945587),1,ABEJORRAL
