Unnamed: 0,mines_outcome,LATITUD_Y,LONGITUD_X,random_seed0,random_seed1,random_seed2,random_seed3,random_seed4,sonson_seed0,sonson_seed1,sonson_seed2,sonson_seed3,sonson_seed4,caldas_seed0,caldas_seed1,caldas_seed2,caldas_seed3,caldas_seed4,geometry,cluster,sonson_avg,Municipio,option
50,-1,5.723253279,-75.4911554,0.581385699,0.442032496,0.259057394,0.554117501,0.257875159,0.368793486,0.479791038,0.45316681,0.491047591,0.430012194,0.506696252,0.227641796,0.457277464,0.192018475,0.393932001,POINT (-75.49115539748173 5.723253279216544),0,0.444562224,ABEJORRAL,sonson_avg
51,-1,5.732227638,-75.4911554,0.741282036,0.482163646,0.752896146,0.777177898,0.417301358,0.12700448,0.502229854,0.485453952,0.522499192,0.492472107,0.645015437,0.639226271,0.593495405,0.651683549,0.624596162,POINT (-75.49115539748173 5.732227638190903),0,0.425931917,ABEJORRAL,sonson_avg
52,-1,5.741201997,-75.4911554,0.651777632,0.455975167,0.378956888,0.656740446,0.564835692,0.21520408,0.448176567,0.458846716,0.508813497,0.479023603,0.635222774,0.278201285,0.595914545,0.60301783,0.600089115,POINT (-75.49115539748173 5.741201997165262),1,0.422012893,ABEJORRAL,sonson_avg
53,-1,5.750176356,-75.4911554,0.678171744,0.613342914,0.698148348,0.702815523,0.699099448,0.6284154,0.643480537,0.631529872,0.594621032,0.656265271,0.815080211,0.637986426,0.785097687,0.782736109,0.793796814,POINT (-75.49115539748173 5.750176356139621),1,0.630862422,ABEJORRAL,sonson_avg
54,-1,5.759150715,-75.4911554,0.661984022,0.587705371,0.701251853,0.695256597,0.689273992,0.726815281,0.730018319,0.730155588,0.763531032,0.761569814,0.769470386,0.739809127,0.766533134,0.742192687,0.751553904,POINT (-75.49115539748173 5.75915071511398),1,0.742418007,ABEJORRAL,sonson_avg
55,1,5.768125074,-75.4911554,0.637383956,0.417169712,0.661461781,0.657799079,0.647989853,0.495829284,0.499086463,0.495652517,0.536022772,0.513734363,0.764790504,0.738274414,0.741290606,0.741298798,0.747270302,POINT (-75.49115539748173 5.7681250740883385),1,0.50806508,ABEJORRAL,sonson_avg
56,1,5.777099433,-75.4911554,0.769953449,0.615804129,0.791119808,0.779078187,0.765498965,0.812208382,0.821972268,0.82207137,0.856650218,0.829519916,0.83232731,0.822140959,0.817056075,0.805776102,0.828983696,POINT (-75.49115539748173 5.7770994330626975),1,0.828484431,ABEJORRAL,sonson_avg
57,1,5.786073792,-75.4911554,0.722092033,0.696525624,0.731238001,0.702542954,0.715191827,0.797325278,0.814152003,0.798682317,0.769750881,0.819460381,0.753273993,0.764047851,0.739063683,0.744490579,0.754103945,POINT (-75.49115539748173 5.786073792037056),1,0.799874172,ABEJORRAL,sonson_avg
58,-1,5.71427892,-75.48218104,0.576757034,0.303110583,0.276512989,0.582213298,0.58182568,0.416572473,0.474261721,0.449665262,0.471716561,0.449440821,0.52647635,0.296049372,0.447574889,0.184627362,0.52115519,POINT (-75.48218103850738 5.714278920242185),0,0.452331368,ABEJORRAL,sonson_avg
59,-1,5.741201997,-75.48218104,0.760977401,0.576178577,0.764875643,0.77717998,0.427622418,0.573521594,0.605886458,0.599082144,0.616837215,0.615903863,0.62439403,0.395302414,0.623598621,0.600287602,0.596456099,POINT (-75.48218103850738 5.741201997165262),1,0.602246255,ABEJORRAL,sonson_avg
60,-1,5.750176356,-75.48218104,0.688540784,0.534099485,0.650547545,0.708779992,0.482501807,0.507062477,0.50439304,0.500966624,0.528020298,0.532347014,0.693755741,0.650593976,0.682893278,0.669816224,0.675207183,POINT (-75.48218103850738 5.750176356139621),1,0.514557891,ABEJORRAL,sonson_avg
61,-1,5.759150715,-75.48218104,0.719256322,0.536773218,0.747340502,0.756662778,0.517975529,0.788497196,0.79186758,0.79520451,0.825532121,0.819008606,0.785510803,0.753876929,0.764456461,0.757797193,0.754963761,POINT (-75.48218103850738 5.75915071511398),1,0.804022003,ABEJORRAL,sonson_avg
62,1,5.768125074,-75.48218104,0.768072851,0.563754981,0.7825185,0.788115958,0.781677141,0.812835657,0.809401612,0.818895844,0.839964983,0.826530101,0.807361078,0.771182321,0.784667458,0.774647547,0.773820547,POINT (-75.48218103850738 5.7681250740883385),1,0.821525639,ABEJORRAL,sonson_avg
63,1,5.777099433,-75.48218104,0.767127513,0.74342494,0.776229005,0.786344302,0.773436626,0.806521027,0.813011224,0.819244761,0.840553278,0.822928081,0.801696796,0.799716891,0.803611726,0.78694484,0.799993073,POINT (-75.48218103850738 5.7770994330626975),1,0.820451674,ABEJORRAL,sonson_avg
64,1,5.786073792,-75.48218104,0.753960684,0.617272028,0.76861684,0.758142704,0.6353807,0.810496354,0.794459192,0.798230242,0.796766262,0.80233703,0.801921254,0.787592312,0.794206246,0.784291207,0.798689666,POINT (-75.48218103850738 5.786073792037056),1,0.800457816,ABEJORRAL,sonson_avg
65,1,5.795048151,-75.48218104,0.725977105,0.721299791,0.743087841,0.708011015,0.730788611,0.792893621,0.793270382,0.800540626,0.602108284,0.797551776,0.757356936,0.778124666,0.740519705,0.701584269,0.760516245,POINT (-75.48218103850738 5.795048151011415),1,0.757272938,ABEJORRAL,sonson_avg
66,-1,5.768125074,-75.47320668,0.758611494,0.679296181,0.786103564,0.793278738,0.772510462,0.822830254,0.816249756,0.832435728,0.825157681,0.836724035,0.802435691,0.761131479,0.780055688,0.775190772,0.768884992,POINT (-75.47320667953302 5.7681250740883385),1,0.826679491,ABEJORRAL,sonson_avg
